aggregation_method,date,version,airport_name,percent_of_baseline,center_point_geom,city,state_region,country_iso_code_2,country_name,airport_geom
Daily,2020-07-21,1.0,LaGuardia,60,POINT(-73.8732455278797 40.7738834966785),New York,New York,US-NY,United States of America (the),"POLYGON((-73.8876271247864 40.7672775860377, -73.8868251442909 40.7674949475763, -73.8850897550583 40.7678382554742, -73.8827562332153 40.7687605057789, -73.8786309957504 40.7710620129355, -73.8773837685585 40.7717607777968, -73.8769572973251 40.7719090612553, -73.8758790493012 40.7721650017888, -73.8742563128471 40.7722543776158, -73.871713578701 40.7720187501761, -73.8698145747185 40.771559680523, -73.867561519146 40.7703733973511, -73.8654774427414 40.7689880193043, -73.8634979724884 40.7670541295091, -73.8595390319824 40.7670866323236, -73.8550651073456 40.7721243763731, -73.8725745677948 40.7806064242785, -73.8846015930176 40.7799483731072, -73.8849878311157 40.7792171974933, -73.8842904567719 40.77547182732, -73.8847517967224 40.7752605854015, -73.8842904567719 40.7741190549506, -73.8893169164658 40.7735340637734, -73.8885551691055 40.7690367721013, -73.8881796598434 40.7688620744133, -73.8880723714828 40.7685492425221, -73.8876271247864 40.7672775860377))"
Daily,2020-04-12,1.0,LaGuardia,59,POINT(-73.8732455278797 40.7738834966785),New York,New York,US-NY,United States of America (the),"POLYGON((-73.8876271247864 40.7672775860377, -73.8868251442909 40.7674949475763, -73.8850897550583 40.7678382554742, -73.8827562332153 40.7687605057789, -73.8786309957504 40.7710620129355, -73.8773837685585 40.7717607777968, -73.8769572973251 40.7719090612553, -73.8758790493012 40.7721650017888, -73.8742563128471 40.7722543776158, -73.871713578701 40.7720187501761, -73.8698145747185 40.771559680523, -73.867561519146 40.7703733973511, -73.8654774427414 40.7689880193043, -73.8634979724884 40.7670541295091, -73.8595390319824 40.7670866323236, -73.8550651073456 40.7721243763731, -73.8725745677948 40.7806064242785, -73.8846015930176 40.7799483731072, -73.8849878311157 40.7792171974933, -73.8842904567719 40.77547182732, -73.8847517967224 40.7752605854015, -73.8842904567719 40.7741190549506, -73.8893169164658 40.7735340637734, -73.8885551691055 40.7690367721013, -73.8881796598434 40.7688620744133, -73.8880723714828 40.7685492425221, -73.8876271247864 40.7672775860377))"
Daily,2020-03-25,1.0,LaGuardia,68,POINT(-73.8732455278797 40.7738834966785),New York,New York,US-NY,United States of America (the),"POLYGON((-73.8876271247864 40.7672775860377, -73.8868251442909 40.7674949475763, -73.8850897550583 40.7678382554742, -73.8827562332153 40.7687605057789, -73.8786309957504 40.7710620129355, -73.8773837685585 40.7717607777968, -73.8769572973251 40.7719090612553, -73.8758790493012 40.7721650017888, -73.8742563128471 40.7722543776158, -73.871713578701 40.7720187501761, -73.8698145747185 40.771559680523, -73.867561519146 40.7703733973511, -73.8654774427414 40.7689880193043, -73.8634979724884 40.7670541295091, -73.8595390319824 40.7670866323236, -73.8550651073456 40.7721243763731, -73.8725745677948 40.7806064242785, -73.8846015930176 40.7799483731072, -73.8849878311157 40.7792171974933, -73.8842904567719 40.77547182732, -73.8847517967224 40.7752605854015, -73.8842904567719 40.7741190549506, -73.8893169164658 40.7735340637734, -73.8885551691055 40.7690367721013, -73.8881796598434 40.7688620744133, -73.8880723714828 40.7685492425221, -73.8876271247864 40.7672775860377))"
Daily,2020-04-26,1.0,LaGuardia,55.000000000000007,POINT(-73.8732455278797 40.7738834966785),New York,New York,US-NY,United States of America (the),"POLYGON((-73.8876271247864 40.7672775860377, -73.8868251442909 40.7674949475763, -73.8850897550583 40.7678382554742, -73.8827562332153 40.7687605057789, -73.8786309957504 40.7710620129355, -73.8773837685585 40.7717607777968, -73.8769572973251 40.7719090612553, -73.8758790493012 40.7721650017888, -73.8742563128471 40.7722543776158, -73.871713578701 40.7720187501761, -73.8698145747185 40.771559680523, -73.867561519146 40.7703733973511, -73.8654774427414 40.7689880193043, -73.8634979724884 40.7670541295091, -73.8595390319824 40.7670866323236, -73.8550651073456 40.7721243763731, -73.8725745677948 40.7806064242785, -73.8846015930176 40.7799483731072, -73.8849878311157 40.7792171974933, -73.8842904567719 40.77547182732, -73.8847517967224 40.7752605854015, -73.8842904567719 40.7741190549506, -73.8893169164658 40.7735340637734, -73.8885551691055 40.7690367721013, -73.8881796598434 40.7688620744133, -73.8880723714828 40.7685492425221, -73.8876271247864 40.7672775860377))"
Daily,2020-06-14,1.0,LaGuardia,54,POINT(-73.8732455278797 40.7738834966785),New York,New York,US-NY,United States of America (the),"POLYGON((-73.8876271247864 40.7672775860377, -73.8868251442909 40.7674949475763, -73.8850897550583 40.7678382554742, -73.8827562332153 40.7687605057789, -73.8786309957504 40.7710620129355, -73.8773837685585 40.7717607777968, -73.8769572973251 40.7719090612553, -73.8758790493012 40.7721650017888, -73.8742563128471 40.7722543776158, -73.871713578701 40.7720187501761, -73.8698145747185 40.771559680523, -73.867561519146 40.7703733973511, -73.8654774427414 40.7689880193043, -73.8634979724884 40.7670541295091, -73.8595390319824 40.7670866323236, -73.8550651073456 40.7721243763731, -73.8725745677948 40.7806064242785, -73.8846015930176 40.7799483731072, -73.8849878311157 40.7792171974933, -73.8842904567719 40.77547182732, -73.8847517967224 40.7752605854015, -73.8842904567719 40.7741190549506, -73.8893169164658 40.7735340637734, -73.8885551691055 40.7690367721013, -73.8881796598434 40.7688620744133, -73.8880723714828 40.7685492425221, -73.8876271247864 40.7672775860377))"
Daily,2020-07-01,1.0,LaGuardia,76,POINT(-73.8732455278797 40.7738834966785),New York,New York,US-NY,United States of America (the),"POLYGON((-73.8876271247864 40.7672775860377, -73.8868251442909 40.7674949475763, -73.8850897550583 40.7678382554742, -73.8827562332153 40.7687605057789, -73.8786309957504 40.7710620129355, -73.8773837685585 40.7717607777968, -73.8769572973251 40.7719090612553, -73.8758790493012 40.7721650017888, -73.8742563128471 40.7722543776158, -73.871713578701 40.7720187501761, -73.8698145747185 40.771559680523, -73.867561519146 40.7703733973511, -73.8654774427414 40.7689880193043, -73.8634979724884 40.7670541295091, -73.8595390319824 40.7670866323236, -73.8550651073456 40.7721243763731, -73.8725745677948 40.7806064242785, -73.8846015930176 40.7799483731072, -73.8849878311157 40.7792171974933, -73.8842904567719 40.77547182732, -73.8847517967224 40.7752605854015, -73.8842904567719 40.7741190549506, -73.8893169164658 40.7735340637734, -73.8885551691055 40.7690367721013, -73.8881796598434 40.7688620744133, -73.8880723714828 40.7685492425221, -73.8876271247864 40.7672775860377))"
Daily,2020-08-22,1.0,LaGuardia,55.000000000000007,POINT(-73.8732455278797 40.7738834966785),New York,New York,US-NY,United States of America (the),"POLYGON((-73.8876271247864 40.7672775860377, -73.8868251442909 40.7674949475763, -73.8850897550583 40.7678382554742, -73.8827562332153 40.7687605057789, -73.8786309957504 40.7710620129355, -73.8773837685585 40.7717607777968, -73.8769572973251 40.7719090612553, -73.8758790493012 40.7721650017888, -73.8742563128471 40.7722543776158, -73.871713578701 40.7720187501761, -73.8698145747185 40.771559680523, -73.867561519146 40.7703733973511, -73.8654774427414 40.7689880193043, -73.8634979724884 40.7670541295091, -73.8595390319824 40.7670866323236, -73.8550651073456 40.7721243763731, -73.8725745677948 40.7806064242785, -73.8846015930176 40.7799483731072, -73.8849878311157 40.7792171974933, -73.8842904567719 40.77547182732, -73.8847517967224 40.7752605854015, -73.8842904567719 40.7741190549506, -73.8893169164658 40.7735340637734, -73.8885551691055 40.7690367721013, -73.8881796598434 40.7688620744133, -73.8880723714828 40.7685492425221, -73.8876271247864 40.7672775860377))"
Daily,2020-04-07,1.0,LaGuardia,51,POINT(-73.8732455278797 40.7738834966785),New York,New York,US-NY,United States of America (the),"POLYGON((-73.8876271247864 40.7672775860377, -73.8868251442909 40.7674949475763, -73.8850897550583 40.7678382554742, -73.8827562332153 40.7687605057789, -73.8786309957504 40.7710620129355, -73.8773837685585 40.7717607777968, -73.8769572973251 40.7719090612553, -73.8758790493012 40.7721650017888, -73.8742563128471 40.7722543776158, -73.871713578701 40.7720187501761, -73.8698145747185 40.771559680523, -73.867561519146 40.7703733973511, -73.8654774427414 40.7689880193043, -73.8634979724884 40.7670541295091, -73.8595390319824 40.7670866323236, -73.8550651073456 40.7721243763731, -73.8725745677948 40.7806064242785, -73.8846015930176 40.7799483731072, -73.8849878311157 40.7792171974933, -73.8842904567719 40.77547182732, -73.8847517967224 40.7752605854015, -73.8842904567719 40.7741190549506, -73.8893169164658 40.7735340637734, -73.8885551691055 40.7690367721013, -73.8881796598434 40.7688620744133, -73.8880723714828 40.7685492425221, -73.8876271247864 40.7672775860377))"
Daily,2020-05-28,1.0,LaGuardia,53,POINT(-73.8732455278797 40.7738834966785),New York,New York,US-NY,United States of America (the),"POLYGON((-73.8876271247864 40.7672775860377, -73.8868251442909 40.7674949475763, -73.8850897550583 40.7678382554742, -73.8827562332153 40.7687605057789, -73.8786309957504 40.7710620129355, -73.8773837685585 40.7717607777968, -73.8769572973251 40.7719090612553, -73.8758790493012 40.7721650017888, -73.8742563128471 40.7722543776158, -73.871713578701 40.7720187501761, -73.8698145747185 40.771559680523, -73.867561519146 40.7703733973511, -73.8654774427414 40.7689880193043, -73.8634979724884 40.7670541295091, -73.8595390319824 40.7670866323236, -73.8550651073456 40.7721243763731, -73.8725745677948 40.7806064242785, -73.8846015930176 40.7799483731072, -73.8849878311157 40.7792171974933, -73.8842904567719 40.77547182732, -73.8847517967224 40.7752605854015, -73.8842904567719 40.7741190549506, -73.8893169164658 40.7735340637734, -73.8885551691055 40.7690367721013, -73.8881796598434 40.7688620744133, -73.8880723714828 40.7685492425221, -73.8876271247864 40.7672775860377))"
Daily,2020-06-15,1.0,LaGuardia,64,POINT(-73.8732455278797 40.7738834966785),New York,New York,US-NY,United States of America (the),"POLYGON((-73.8876271247864 40.7672775860377, -73.8868251442909 40.7674949475763, -73.8850897550583 40.7678382554742, -73.8827562332153 40.7687605057789, -73.8786309957504 40.7710620129355, -73.8773837685585 40.7717607777968, -73.8769572973251 40.7719090612553, -73.8758790493012 40.7721650017888, -73.8742563128471 40.7722543776158, -73.871713578701 40.7720187501761, -73.8698145747185 40.771559680523, -73.867561519146 40.7703733973511, -73.8654774427414 40.7689880193043, -73.8634979724884 40.7670541295091, -73.8595390319824 40.7670866323236, -73.8550651073456 40.7721243763731, -73.8725745677948 40.7806064242785, -73.8846015930176 40.7799483731072, -73.8849878311157 40.7792171974933, -73.8842904567719 40.77547182732, -73.8847517967224 40.7752605854015, -73.8842904567719 40.7741190549506, -73.8893169164658 40.7735340637734, -73.8885551691055 40.7690367721013, -73.8881796598434 40.7688620744133, -73.8880723714828 40.7685492425221, -73.8876271247864 40.7672775860377))"
